Name,n1,n2
Wikibooks edits (fr),"10,072","48,323"
Wikivoyage edits (de),"10,265","66,819"
Wikipedia edits (zh-yue),"10,433","150,476"
Wikiquote edits (tr),"2,619","17,199"
Wikibooks edits (vi),"1,325","7,819"
Wikipedia edits (nah),"1,446","18,622"
Wikiquote edits (ar),"1,544","128,730"
Wiktionary edits (cs),"1,578","104,423"
Wikipedia edits (pnb),"1,661","61,529"
Wikipedia edits (os),"1,706","40,241"
Wikipedia edits (yo),"1,713","53,387"
Wiktionary edits (simple),"1,750","31,882"
Wikipedia edits (sah),"1,763","38,095"
Wikipedia edits (bh),"18,352","42,767"
Wikipedia edits (hsb),"1,952","30,421"
Wikinews edits (ru),"2,041","116,171"
Wikipedia edits (li),"2,059","58,654"
CiaoDVD review ratings,"21,019","71,633"
Wikipedia edits (pms),"2,206","98,018"
Wikipedia edits (cv),"2,266","67,737"
Wiktionary edits (si),232,"2,784"
Wikinews edits (es),"2,330","40,293"
Wikiquote edits (zh),"3,468","565,683"
Wikivoyage edits (it),"2,538","28,963"
Wikipedia edits (pa),"2,556","87,449"
Wikibooks edits (ka),258,"5,009"
Wikiquote edits (et),274,"20,628"
Wikipedia edits (my),"2,747","71,705"
Wikipedia edits (yi),"2,760","38,603"
Wikipedia edits (io),"2,797","40,921"
Wikipedia edits (gd),"2,995","29,656"
Wiktionary edits (lo),319,"62,230"
Wikipedia edits (nso),353,"9,432"
Wikipedia edits (ckb),"3,691","110,527"
Wikipedia edits (sw),"3,800","86,312"
Wikipedia edits (si),"3,945","62,150"
Wikiquote edits (da),414,"20,816"
Wikibooks edits (pt),"4,212","75,129"
Wikiquote edits (pl),"1,656","579,990"
Wiktionary edits (bn),456,"9,802"
Wiktionary edits (te),494,"121,475"
Wikiquote edits (de),"4,371","443,521"
Wikinews edits (sv),507,"8,598"
Wiktionary edits (az),539,"59,195"
Wikibooks edits (th),559,"12,175"
Wikiversity edits (de),"5,613","76,840"
Wikipedia edits (mn),"5,619","54,638"
Wiktionary edits (th),589,"163,404"
MovieLens 1M,"6,040","3,706"
Wiktionary edits (sr),668,"220,326"
Wikiquote edits (mr),687,"6,587"
Wikipedia edits (sn),743,"8,324"
Wikipedia edits (gu),"8,403","71,140"
Wiktionary edits (ro),867,"165,987"
Wikipedia edits (glk),868,"11,957"
Wiktionary edits (id),887,"203,209"
